,Full Address,Lat,Lon,Lead,Arsenic
244,"HollywoodAve,EdgewoodAve,Austin,TX",30.29009,-97.72038,24.12,0
245,"HenryKinneyBlvd,Escarpment,Austin,TX",30.21879,-97.87207,16.79,0
246,"TiombeBend,LaCressadaDr.,Austin,TX",30.2065,-97.86491,0,0
247,"HenryKinneyBlvd,Escarpment,Austin,TX",30.21879,-97.87207,12.27,7.82
248,"BeckettRd,LaCresadaDr,Austin,TX",30.20404,-97.87077,8.23,7.66
249,"Anarosa,ScofieldFarms,Austin,TX",,,0,0
250,"BeckettRd,TaylorCrest,Austin,TX",30.20581,-97.87044,11.22,0
251,"Anarosa,ScofieldFarms,Austin,TX",,,9.26,0
252,"BeckettRd,DavisLn,Austin,TX",30.20782,-97.86942,12.98,11.12
253,"RioPass,UrayDr,Austin,TX",30.3166,-97.65357,0,8.44
254,"BeckettRd,DavisLn,Austin,TX",30.20782,-97.86942,0,11.82
255,"LayolaLn,DubuqueLn,Austin,TX",30.26759,-97.74299,41.34,10.04
256,"1458,DavisLn,Austin,TX",30.19532,-97.84232,13.01,7.02
257,"Nile,PleasantValley,Austin,TX",30.26885,-97.71174,32.26,0
258,"Edenwood,Westgate,Austin,TX",30.20323,-97.81776,14.06,0
259,"8th,Northwestern,Austin,TX",30.26445,-97.71321,50.65,0
260,"ScenicBrookDr,GroveCrest,Austin,TX",30.23649,-97.88397,0,5.43
261,"SonnetAve,Westchester,Austin,TX",30.36549,-97.74585,0,0
262,"Adelphi,Amherst,Austin,TX",30.42151,-97.71563,24,0
263,"Blessing,E.Anderson,Austin,TX",30.33438,-97.69149,15,0
264,"Cameron,E.Anderson,Austin,TX",30.3328,-97.68613,0,0
265,"LakeAustin,Mopac,Austin,TX",30.28609,-97.77893,27,0
266,"Waterson,Mopac,Austin,TX",30.34196,-97.75325,190,0
267,"BearCreek,FM1826,Austin,TX",30.16636,-97.94522,21,0
268,"Terrace,Eastside,Austin,TX",30.24198,-97.74675,19,0
269,"Kemp,Clovis,Austin,TX",30.2432,-97.69325,15,0
270,"C.Chavez,Mopac,Austin,TX",30.34196,-97.75325,15,0
271,"Mancha,TXHwy71,Austin,TX",30.23676,-97.83763,52,0
272,"GardeniaGarden,WhiteRockDr.,Austin,TX",30.33903,-97.74634,0,0
273,"Jasmine,WhiteRockDr.,Austin,TX",30.33903,-97.74634,23,0
274,"MKL,EMFranklin,Austin,TX",30.28599,-97.69712,59,0
275,"Cameron,E.Anderson,Austin,TX",30.3328,-97.68613,18,0
276,"S.1st,Stassney,Austin,TX",30.20844,-97.78154,18,0
277,"Blackberry,Lunar,Austin,TX",30.18579,-97.78686,13,0
278,"Blackberry,Lunar,Austin,TX",30.18579,-97.78686,0,0
279,"Blackberry,Lunar,Austin,TX",30.18579,-97.78686,0,0
280,"Blackberry,Lunar,Austin,TX",30.18579,-97.78686,0,0
281,"WalnutAve.,32nd,Austin,TX",30.28618,-97.71441,14,0
282,"Holly,RobertMartinez,Austin,TX",30.25208,-97.72237,50,0
283,"JoeSayers,Woodrow,Austin,TX",30.32657,-97.73588,16,0
284,"Koenig,Burnet,Austin,TX",30.3348,-97.73983,0,0
285,"Koenig,Burnet,Austin,TX",30.3348,-97.73983,0,0
286,"Grover,Woodrow,Austin,TX",30.34839,-97.72326,100,0
287,"Oxford,Valeria,Austin,TX",30.24977,-97.7709,59,0
288,"Oxford,Valeria,Austin,TX",30.24977,-97.7709,52,0
289,"AttarCove,CharingCross,Austin,TX",30.42898,-97.76721,16,0
290,"Vineland,E.40th,Austin,TX",30.29198,-97.70921,16,0
291,"MLK,Springdale,Austin,TX",30.28585,-97.68263,16,0
292,"MLK,Springdale,Austin,TX",30.28585,-97.68263,26,0
293,"PrairieHenLn,HiddenQuail,Austin,TX",30.39418,-97.70064,16,0
